순번,단지명,회사명,시군구,소재지,전화번호,종업원수,대표업종번호,업종번호,업종명,생산품
5520,남동국가산업단지,대산기계,남동구,"인천광역시 남동구 능허대로577번길 61, 125블럭 5로트 (고잔동)",032-817-7411,2,29223,29223,금속 절삭기계 제조업,"연마기, 연삭기"
5521,남동국가산업단지,두리금속열처리,남동구,"인천광역시 남동구 청능대로409번길 41, 75블럭 10로트 (고잔동)",032-817-7464,2,25921,25921,금속 열처리업,금속용접
5522,남동국가산업단지,삼성엔지니어링(주),남동구,"인천광역시 남동구 능허대로577번길 158, 117B 2L(686-13번지) (고잔동)",032-817-7469,5,29176,29176,"증류기, 열교환기 및 가스발생기 제조업",열교환기
5523,남동국가산업단지,세진냉열(주),남동구,"인천광역시 남동구 청능대로448번길 161, 108블럭 2로트 (고잔동)",032-817-7469,16,29176,29176,"증류기, 열교환기 및 가스발생기 제조업",열교환기(라디에이터 등)
5524,남동국가산업단지,BIT솔루션,남동구,"인천광역시 남동구 남동동로 233, 54블럭 4로트 (논현동)",032-817-7515,2,26429,26429,기타 무선 통신장비 제조업,통신장비
5525,남동국가산업단지,CS레이저,남동구,"인천광역시 남동구 논현고잔로 106, 171블록 5로트 (고잔동)",032-817-7530,2,29294,29294,주형 및 금형 제조업,목금형
5526,남동국가산업단지,후지테크코리아(주),남동구,"인천광역시 남동구 호구포로 151, 98블럭 3로트 (고잔동)",032-817-7541,190,29162,29162,승강기 제조업,Elevator
5527,남동국가산업단지,(주)그린식품 농업회사법인,남동구,"인천광역시 남동구 호구포로74번길 151, 164블록 4로트 (고잔동)",032-817-7557,17,10302,10302,과실 및 그 외 채소 절임식품 제조업,단무지
5528,남동국가산업단지,미젤라화장품,남동구,"인천광역시 남동구 남동동로64번길 77, 154블럭 9로트 (고잔동)",032-817-7561,24,20423,20423,화장품 제조업,두발용 화장품(헤어로션)
5529,남동국가산업단지,우리 테크,남동구,"인천광역시 남동구 남동서로53번길 38, E동 2층 217 (고잔동)",032-817-7620,2,29294,"28122, 29294",주형 및 금형 제조업 외 1 종,커넥터 핀 및 금형
5530,남동국가산업단지,(주)지비테크,남동구,"인천광역시 남동구 호구포로74번길 78, 1층(163블록 5로트) (고잔동)",032-817-7623,7,26223,26223,연성 및 기타 인쇄회로기판 제조업,FPCB
5531,남동국가산업단지,(주)태광정공,남동구,"인천광역시 남동구 호구포로 124, 103블럭 17로트 (고잔동, 태승정공)",032-817-7698,7,29223,"29223, 29230",금속 절삭기계 제조업 외 1 종,금속가공
5532,남동국가산업단지,주식회사 성주엠아이운용,남동구,"인천광역시 남동구 남동동로 51, 145블럭 11로트 (고잔동)",032-817-7723,24,25923,25923,도장 및 기타 피막처리업,산업기계부품 도장
5533,남동국가산업단지,(주)리치코리아,남동구,인천광역시 남동구 은봉로105번길 44-10 (논현동),032-817-7730,20,10129,"10122, 10129",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,양념육
5534,남동국가산업단지,(주)리치코리아,남동구,"인천광역시 남동구 은봉로105번길 23, 44블럭 6로트 (논현동)",032-817-7730,52,10122,"10122, 10129, 10749",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 2 종,"양념육,소스류 등"
5535,남동국가산업단지,(주)원태,남동구,"인천광역시 남동구 청능대로339번길 25, 71블럭 11로트 (고잔동)",032-817-7733,127,29294,"29294, 30310, 30331, 30391, 30392, 30399, 30400",주형 및 금형 제조업 외 6 종,"금형,자동차부품"
5536,남동국가산업단지,주안케미칼(주),남동구,"인천광역시 남동구 앵고개로 422, 119블럭 2롯트 (고잔동)",032-817-7781,13,20421,"20421, 23312",계면활성제 제조업 외 1 종,"소포제,액상소석회"
5537,남동국가산업단지,(주)씨에스이엔지,남동구,인천광역시 남동구 승기천로 326 (남촌동),032-817-7812,10,29271,29271,반도체 제조용 기계 제조업,반도체 조립장비
5538,남동국가산업단지,나산화연,남동구,"인천광역시 남동구 청능대로340번길 41, 92블럭15로트 (고잔동)",032-817-7814,8,25922,25922,도금업,도금업
5539,남동국가산업단지,(주)중원코리아,남동구,"인천광역시 남동구 청능대로410번길 104, 99블록 12로트 (고잔동)",032-817-7855,8,29293,"18121, 26221, 26222, 26223, 29293",인쇄 및 제책용 기계 제조업 외 4 종,제판 및 조판
5540,남동국가산업단지,바치코리아,남동구,"인천광역시 남동구 아암대로 1069, 148블럭7로트 (고잔동)",032-817-7886,6,29271,"25924, 27199, 29223, 29271, 29280, 29294",반도체 제조용 기계 제조업 외 5 종,"반도체장비부품, 금형, 절삭가공, 의료부품 ARM, 산업용로봇부품 , 고진공펌프, 금형"
5541,남동국가산업단지,한국금형부품,남동구,"인천광역시 남동구 은청로 60, 72블럭 3로트 (고잔동)",032-817-7904,6,29294,29294,주형 및 금형 제조업,금형부품
5542,남동국가산업단지,(주)케이제이솔루테크,남동구,인천광역시 남동구 남동대로 150 (고잔동),032-817-8001,6,25929,"25929, 26429",그 외 기타 금속가공업 외 1 종,"캠핑용품, 통신장비 부품, 전자부품"
5543,남동국가산업단지,(주)유진에스엠,남동구,"인천광역시 남동구 남동동로64번길 58, 156블록 2로트 (고잔동)",032-817-8006,7,30391,30391,자동차용 신품 조향장치 및 현가 장치 제조업,자동차 조향장치(고무)
5544,남동국가산업단지,(주)엘맥스텍,남동구,"인천광역시 남동구 은봉로 51, 남동테크노파크 B동 4층 402호 (논현동)",032-817-8018,3,28123,28123,배전반 및 전기 자동제어반 제조업,전자석 클러치
5545,남동국가산업단지,(주)엘맥스텍 제2지점,남동구,"인천광역시 남동구 은봉로 51, 남동테크노파크 B동 6층 604호 (논현동)",032-817-8018,5,28123,28123,배전반 및 전기 자동제어반 제조업,전자석클러치
5546,남동국가산업단지,양림문화사,남동구,"인천광역시 남동구 남동서로113번길 28-50, 82블럭 14로트 82블록14로트 (고잔동)",032-817-8036,12,18121,"18121, 25922",제판 및 조판업 외 1 종,인쇄로라
5547,남동국가산업단지,양림문화사 2공장,남동구,"인천광역시 남동구 능허대로625번길 140-28, 122B-5L(고잔동)",032-817-8036,12,18121,"18121, 25922",제판 및 조판업 외 1 종,"그라비아 인쇄용 실린더, Flexo 인쇄용 수지판"
5548,남동국가산업단지,영승도장,남동구,인천광역시 남동구 능허대로559번길 86 (고잔동),032-817-8105,7,25923,25923,도장 및 기타 피막처리업,분체도장
5549,남동국가산업단지,(주)에스피씨글로벌,남동구,인천광역시 남동구 남동대로410번길 35 (남촌동),032-817-8112,30,32029,32029,기타 목재가구 제조업,가구
5550,남동국가산업단지,(주)에스피씨글로벌,남동구,"인천광역시 남동구 남동동로345번길 51,  39블럭 5로트 (남촌동)",032-817-8112,15,32029,"16103, 25923, 32029",기타 목재가구 제조업 외 2 종,"기타 목재가구, 도장"
5551,남동국가산업단지,신라파이어(주),남동구,"인천광역시 남동구 은봉로75번길 20, 22블럭 8로트 (논현동) 외 1필지",032-817-8119,57,29193,"24290, 25113, 25114, 25924, 25929, 25995, 25999, 27211, 29133, 29193, 30122, 30201, 30202, 33932",분사기 및 소화기 제조업 외 13 종,"관창,방수총,밸브류등"
5552,남동국가산업단지,창흥기공,남동구,"인천광역시 남동구 앵고개로621번길 28-28, 111블럭 2로트 (고잔동)",032-817-8217,5,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,"물품취급장비, 기계제작"
5553,남동국가산업단지,(주)제4기한국,남동구,"인천광역시 남동구 능허대로577번길 36-2, 134블럭 12로트 (고잔동)",032-817-8344,12,24199,"24199, 26221, 26222, 26223, 28121, 28122, 28123, 28909, 29150, 29171, 29241, 29271",그 외 기타 1차 철강 제조업 외 11 종,PCB기판 클리닝 및 SMEAR제거
5554,남동국가산업단지,한록물산(주),남동구,인천광역시 남동구 남동대로215번길 43 (고잔동),032-817-8361,13,29229,29229,기타 가공 공작기계 제조업,공작기계 가공
5555,남동국가산업단지,(주)희석테크,남동구,"인천광역시 남동구 남동대로 284, [논현동 434-10, 44B-10L] 제라동 제2층 제202호 (논현동)",032-817-8413,8,25922,25922,도금업,"통신, 전자부품"
5556,남동국가산업단지,(주)희석테크,남동구,"인천광역시 남동구 호구포로 50, 엘아이지식산업센터 519-1,519-2호 (고잔동)",032-817-8413,2,18112,18112,스크린 인쇄업,본딩 인쇄
5557,남동국가산업단지,에이치에스테크,남동구,"인천광역시 남동구 남동대로 284, 44블록10로트,라동205호 (논현동, 라 동 라)",032-817-8413,3,26299,26299,그 외 기타 전자부품 제조업,전기전자부품
5558,남동국가산업단지,장원산업,남동구,"인천광역시 남동구 남동동로 160, 96블럭 2로트 (고잔동)",032-817-8433,11,25944,25944,금속선 가공제품 제조업,철망
5559,남동국가산업단지,한일철강(주) 인천코일센터,남동구,"인천광역시 남동구 호구포로 59, 2번지 154블럭 2,3로트 (고잔동)",032-817-8471,19,24199,"24191, 24199",그 외 기타 1차 철강 제조업 외 1 종,철강재 1차가공
5560,남동국가산업단지,(주)정정당당,남동구,"인천광역시 남동구 은봉로 51, A동 101,102,104,201호(논현동)",032-817-8593,44,10129,"10122, 10129, 10301, 10302",육류 기타 가공 및 저장처리업 (가금류 제외) 외 3 종,"동치미, 양념고기 외"
5561,남동국가산업단지,신기산업(자),남동구,"인천광역시 남동구 승기천로 62-39, 114블럭 5로트(684-4번지) (고잔동)",032-817-8595,12,25913,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종,각종 케이스
5562,남동국가산업단지,MY시스템,남동구,"인천광역시 남동구 은청로 56, 72블록 2로트 (고잔동)",032-817-8662,2,25924,25924,절삭가공 및 유사처리업,지그제작 기계부품
5563,남동국가산업단지,동진테크,남동구,인천광역시 남동구 앵고개로556번길 31 (고잔동),032-817-8701,11,22299,22299,그 외 기타 플라스틱 제품 제조업,플라스틱 제품
5564,남동국가산업단지,이조산업,남동구,인천광역시 남동구 호구포로 189 (고잔동) 남동테크노타워 지식산업센터 1동 6층 605호,032-817-8730,3,26299,26299,그 외 기타 전자부품 제조업,케이블
5565,남동국가산업단지,네오마(주),남동구,"인천광역시 남동구 남동동로 84, 1층 113호, 114호 (고잔동)",032-817-8760,10,29271,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,반도체 제조기계
5566,남동국가산업단지,제이지씨텍업,남동구,"인천광역시 남동구 함박뫼로 403, [남촌동 630-7, 43B-3L] (남촌동)",032-817-8790,2,25924,25924,절삭가공 및 유사처리업,금형부품
5567,남동국가산업단지,대봉엘에스(주),남동구,"인천광역시 남동구 능허대로649번길 123, 122블럭 9로트 (고잔동)",032-817-8800,74,10749,"10749, 21101",기타 식품 첨가물 제조업 외 1 종,식품첨가물
5568,남동국가산업단지,대봉엘에스(주),남동구,"인천광역시 남동구 능허대로625번길 28, 137블럭 12로트 (고잔동)",032-817-8800,4,20423,20423,화장품 제조업,"화장품 제조(MTG, ATG)"
5569,남동국가산업단지,(주)한양시스템,남동구,"인천광역시 남동구 남동동로124번길 11,99블럭 18로트 (고잔동)",032-817-8891,48,26511,"26511, 26519, 26521, 26529",텔레비전 제조업 외 3 종,"통신기기케이스, 컴퓨터케이스"
5570,남동국가산업단지,(주)엔터플렉스,남동구,인천광역시 남동구 호구포로 189 (고잔동) 남동테크노타워 지식산업센터 1동 7층 712호,032-817-8923,3,26299,26299,그 외 기타 전자부품 제조업,FPCB 가접
5571,남동국가산업단지,(주)에이치아이피일렉트로닉스,남동구,인천광역시 남동구 능허대로559번길 16 (고잔동),032-817-9014,10,26221,26221,인쇄회로기판용 적층판 제조업,Immersion Tin
5572,남동국가산업단지,서룡일렉트로닉스,남동구,"인천광역시 남동구 함박뫼로 396, 401,501,지하1층 28, 지하2층 10 (논현동, 남동 아파트형 공장)",032-817-9016,11,26291,26291,전자축전기 제조업,필름콘덴서
5573,남동국가산업단지,세화TECH,남동구,"인천광역시 남동구 청능대로340번길 91, 95블록 1로트(고잔동)",032-817-9091,23,22241,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종,플라스틱제품
5574,남동국가산업단지,(주)바이오액츠,남동구,인천광역시 남동구 호구포로74번길 53 (고잔동),032-817-9100,25,20132,20132,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",염료
5575,남동국가산업단지,신신전자,남동구,"인천광역시 남동구 함박뫼로318번길 20, 17블럭 4로트 (논현동)",032-817-9115,14,26221,"26221, 26222, 26223",인쇄회로기판용 적층판 제조업 외 2 종,인쇄회로기판
5576,남동국가산업단지,(주)이콜테크롤,남동구,인천광역시 남동구 청능대로410번길 104 (고잔동),032-817-9201,12,29293,29293,인쇄 및 제책용 기계 제조업,그라비아 인쇄용 롤
5577,남동국가산업단지,(주)태원테크닉스,남동구,"인천광역시 남동구 은봉로 51, B동 4층 407호 (논현동) 외 3필지",032-817-9210,14,25943,"25924, 25943",금속 스프링 제조업 외 1 종,스프링
5578,남동국가산업단지,태원정공,남동구,"인천광역시 남동구 은봉로 51, B동 4층 407 (논현동) 외 4필지",032-817-9210,9,25943,"25924, 25943",금속 스프링 제조업 외 1 종,스프링
5579,남동국가산업단지,통일공업사,남동구,"인천광역시 남동구 청능대로410번길 79, 98블럭 10로트 (고잔동)",032-817-9291,28,25913,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종,"커피메이커,엘리베이터 부품"
5580,남동국가산업단지,오로라 LED 주식회사,남동구,"인천광역시 남동구 청능대로410번길 79, 98블록 10로트 (고잔동)",032-817-9293,1,28422,"27216, 28422",일반용 전기 조명장치 제조업 외 1 종,"LED, 전압조정기 "
5581,남동국가산업단지,태양합성(주) 제2공장(임차),남동구,"인천광역시 남동구 능허대로649번길 102, 131블럭 1로트 (고잔동)",032-817-9300,20,20421,20421,계면활성제 제조업,계면활성제
5582,남동국가산업단지,태양기계,남동구,"인천광역시 남동구 남동동로123번길 11, 95블록 5로트 (고잔동)",032-817-9333,1,25924,25924,절삭가공 및 유사처리업,산업용기계부품
5583,남동국가산업단지,연안알테크,남동구,"인천광역시 남동구 호구포로74번길 52, 163블록 2로트 (고잔동)",032-817-9404,12,25922,25922,도금업,"알루미늄팩,파이프 도금"
5584,남동국가산업단지,대덕정밀,남동구,"인천광역시 남동구 능허대로741번길 39 (고잔동, 대명화학상사)",032-817-9531,10,25922,25922,도금업,전자부품
5585,남동국가산업단지,영신엔텍,남동구,"인천광역시 남동구 남동동로 129, 94블록 7로트 (고잔동)",032-817-9556,13,25912,"25911, 25912",금속 단조제품 제조업 외 1 종,"엔진발전기케이스, 배전반, 전기컨트롤박스"
5586,남동국가산업단지,일산정밀,남동구,"인천광역시 남동구 남동동로345번길 24, 38블럭 13로트 (남촌동)",032-817-9589,6,29162,29162,승강기 제조업,산업용콘베어
5587,남동국가산업단지,모아전자,남동구,인천광역시 남동구 함박뫼로 351 (남촌동),032-817-9594,9,22241,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차부품
5588,남동국가산업단지,한라금속,남동구,"인천광역시 남동구 승기천로 30, [124-5블록] (고잔동)",032-817-9600,3,25922,25922,도금업,도금
5589,남동국가산업단지,현TEC,남동구,"인천광역시 남동구 능허대로625번길 140-16, 122블록 3로트 3층 (고잔동)",032-817-9612,1,29294,29294,주형 및 금형 제조업,슈퍼드릴가공
5590,남동국가산업단지,세진금속,남동구,"인천광역시 남동구 능허대로559번길 61, 124블럭 11로트 (고잔동)",032-817-9651,14,25922,25922,도금업,오토바이부품 도금
5591,남동국가산업단지,"(주)에스케이세라(SK CERA CO., LTD)",남동구,"인천광역시 남동구 은봉로16번길 54, 23블럭 5로트 (논현동)",032-817-9755,5,23222,23222,위생용 및 산업용 도자기 제조업,세라믹제조
5592,남동국가산업단지,(주)케이에이치테크놀러지,남동구,"인천광역시 남동구 능허대로625번길 157 (고잔동) 1동 1,3층(120블럭 2로트, 689-1번지)",032-817-9873,32,25922,25922,도금업,전자부품 도금
5593,남동국가산업단지,명신기계,남동구,인천광역시 남동구 앵고개로653번길 66 (고잔동),032-817-9981,7,25924,25924,절삭가공 및 유사처리업,산업기계
5594,남동국가산업단지,명신기계(주),남동구,"인천광역시 남동구 앵고개로653번길 66, 112블럭 11로트 (고잔동)",032-817-9981,13,29292,"29222, 29292","고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",고무원료 배합기 및 산업기계
5595,남동국가산업단지,신한이노텍(주),남동구,"인천광역시 남동구 남동대로 408, 33블럭 11로트 (남촌동)",032-817-9988,10,26410,"26410, 26519",유선 통신장비 제조업 외 1 종,"통신기기 전자제품 부품, 영상정보디스플레이장치 등"
5596,남동국가산업단지,티티아이,남동구,"인천광역시 남동구 남동서로 120, 87블록2로트 (고잔동)",032-817-9991,19,25993,"25993, 29133",금속 위생용품 제조업 외 1 종,수도꼭지 부품 등
5597,남동국가산업단지,상원산업(주),남동구,인천광역시 남동구 남동동로123번길 12 (고잔동),032-818-0010,16,22232,22232,포장용 플라스틱 성형용기 제조업,"플라스틱 사출제품, BLOW 제품"
5598,남동국가산업단지,(주)롬퍼니처,남동구,"인천광역시 남동구 남동동로 241, 54블럭 3로트 (논현동)",032-818-0025,29,32019,"29180, 32019, 32099",소파 및 기타 내장가구 제조업 외 2 종,나무식탁
5599,남동국가산업단지,주식회사 성창기업,남동구,"인천광역시 남동구 능허대로625번길 80-10, 201호 (고잔동, (주)남동종합도금)",032-818-0026,10,25922,25922,도금업,도금
5600,남동국가산업단지,(주)세인비,남동구,"인천광역시 남동구 앵고개로 609, 108블록 9로트 (고잔동)",032-818-0034,3,29294,29294,주형 및 금형 제조업,금형
5601,남동국가산업단지,에스케이엠(주),남동구,"인천광역시 남동구 아암대로 1119, 160블록 7로트 (고잔동)",032-818-0091,39,29169,29169,기타 물품 취급장비 제조업,기계제작
5602,남동국가산업단지,영일코리아,남동구,"인천광역시 남동구 청능대로289번길 32, 69블럭 5로트 (고잔동)",032-818-0101,7,23999,"19229, 22241, 22249, 23991, 23995, 23999, 29176, 29199",그 외 기타 분류 안된 비금속 광물제품 제조업 외 7 종,"비금속 광물제품,패킹,가스킷"
5603,남동국가산업단지,(주)한돌펌프,남동구,"인천광역시 남동구 승기천로 296, 15블럭 7로트 (논현동)",032-818-0105,28,29131,29131,액체 펌프 제조업,산업용 펌프
5604,남동국가산업단지,아성용접기산업,남동구,"인천광역시 남동구 남동동로33번길 10, 1동 1층 일부 4동 2층 일부 (고잔동)",032-818-0121,5,29280,29280,산업용 로봇 제조업,자동화기계
5605,남동국가산업단지,(주)한경화학,남동구,"인천광역시 남동구 남동서로 244, 25블럭 10로트 (논현동)",032-818-0146,11,20499,"20495, 20499",그 외 기타 분류 안된 화학제품 제조업 외 1 종,"화공약품,계면활성제"
5606,남동국가산업단지,한경화학공업사,남동구,인천광역시 남동구 남동서로 244 (논현동),032-818-0146,4,20129,20129,기타 기초 무기 화학물질 제조업,증류수
5607,남동국가산업단지,통일금속(주),남동구,"인천광역시 남동구 청능대로340번길 45, 92블럭 14로트 (고잔동)",032-818-0212,12,25921,25921,금속 열처리업,자동차부품 및 중기부품열처리
5608,남동국가산업단지,통일금속(주),남동구,"인천광역시 남동구 청능대로340번길 53, 92블럭 13로트 (고잔동)",032-818-0212,22,25921,25921,금속 열처리업,열처리품
5609,남동국가산업단지,동국성신(주),남동구,"인천광역시 남동구 능허대로559번길 91, 124블럭 2롯트 (고잔동)",032-818-0218,24,26299,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,"전기전자,기계부품,철물제조"
5610,남동국가산업단지,(주)아세아볼트,남동구,"인천광역시 남동구 청능대로389번길 25, 76블록 9로트 (고잔동) (총 2 필지) 외 1필지",032-818-0234,97,25941,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2 종,"스크류, 볼트"
5611,남동국가산업단지,주식회사 더바이오힐,남동구,인천광역시 남동구 남동대로199번길 96 (고잔동),032-818-0335,2,20499,20499,그 외 기타 분류 안된 화학제품 제조업,화장품 원료
5612,남동국가산업단지,(주)마임,남동구,"인천광역시 남동구 아암대로 1075, 148블록 6로트 (고잔동)",032-818-0342,80,10796,"10796, 20421, 20423",건강보조용 액화식품 제조업 외 2 종,"건강식품, 화장품, 세제류"
5613,남동국가산업단지,원일,남동구,"인천광역시 남동구 함박뫼로377번길 44-19, 39블럭 6로트 (남촌동)",032-818-0350,3,22212,22212,플라스틱 필름 제조업,플라스틱필름(합성수지)
5614,남동국가산업단지,(주)씨앤엘,남동구,"인천광역시 남동구 남동동로77번길 53, 143블럭 1로트 (고잔동)",032-818-0354,10,26121,"26121, 26129, 29171, 29172",발광 다이오드 제조업 외 3 종,"열전반도체, 냉각기"
5615,남동국가산업단지,유환정공,남동구,"인천광역시 남동구 남동동로123번길 12, 94블럭 9로트 (고잔동)",032-818-0377,5,25934,25934,톱 및 호환성 공구 제조업,기어호브
5616,남동국가산업단지,(주)에스알테크놀로지,남동구,인천광역시 남동구 남동동로 349 (남촌동),032-818-0481,13,28114,"28114, 28119",에너지 저장장치 제조업 외 1 종,"정류기, 직류전원 장치"
5617,남동국가산업단지,(주)엔솔,남동구,"인천광역시 남동구 남동동로 319, 43블럭 2로트 (남촌동)",032-818-0511,4,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,히터펌프 등
5618,남동국가산업단지,(주)뉴텍플렉스,남동구,"인천광역시 남동구 함박뫼로318번길 27-48, 19블록 9로트 (논현동)",032-818-0538,46,26221,"26221, 26222, 26223",인쇄회로기판용 적층판 제조업 외 2 종,인쇄회로기판
5619,남동국가산업단지,대광금속,남동구,"인천광역시 남동구 능허대로649번길 154 (고잔동) A동 1층, 123블럭 11로트",032-818-0550,2,25914,"25914, 25929",그 외 금속 압형제품 제조업 외 1 종,"금속보온병 부품, 금속가공품"
5620,남동국가산업단지,(주)제이피에스코스메틱,남동구,"인천광역시 남동구 앵고개로449번길 80, 86블록 7로트 (고잔동)",032-818-0551,79,20423,20423,화장품 제조업,두발화장품
5621,남동국가산업단지,다모아이엔씨,남동구,"인천광역시 남동구 남동대로262번길 63, 52블럭 3로트 (논현동)",032-818-0553,4,20423,20423,화장품 제조업,"샴푸, 헤어토닉"
5622,남동국가산업단지,보문산업,남동구,"인천광역시 남동구 앵고개로 560, [고잔동 723 : 153B-1L] (고잔동)",032-818-0617,1,25119,25119,기타 구조용 금속제품 제조업,조립식건물 자재
5623,남동국가산업단지,상훈기계,남동구,"인천광역시 남동구 남동대로155번길 28,  86블럭 8로트 (고잔동)",032-818-0626,7,29294,29294,주형 및 금형 제조업,에나멜 코팅기
5624,남동국가산업단지,(주)한성정공,남동구,"인천광역시 남동구 은청로 88, 75블럭 6로트(646-5번지) (고잔동)",032-818-0652,35,29131,"29131, 29173",액체 펌프 제조업 외 1 종,"펌프 및 압축기(윤활펌프, 절삭유 펌프)"
5625,남동국가산업단지,한성쏠텍,남동구,"인천광역시 남동구 은청로 88, 가동 1층 (고잔동)",032-818-0654,10,29131,29131,액체 펌프 제조업,윤할유펌프
5626,남동국가산업단지,진성E&B,남동구,"인천광역시 남동구 남동서로 345, 8블록2로트 (남촌동)",032-818-0773,8,25934,25934,톱 및 호환성 공구 제조업,다이아몬드 공구
5627,남동국가산업단지,진성이앤비,남동구,"인천광역시 남동구 남동대로 158, 90블럭 9로트(고잔동)",032-818-0773,3,25922,25922,도금업,다이아몬드공구 도금
5628,남동국가산업단지,고려칼라텍,남동구,"인천광역시 남동구 청능대로448번길 15, 104블록2로트 (고잔동)",032-818-0813,6,25929,25929,그 외 기타 금속가공업,기계부품
5629,남동국가산업단지,(주)에스엠툴링,남동구,"인천광역시 남동구 호구포로 50, 626호(고잔동)",032-818-0814,9,25934,25934,톱 및 호환성 공구 제조업,"드릴, 리머, 엔드밀 등"
5630,남동국가산업단지,에스엠테크,남동구,"인천광역시 남동구 호구포로 50, 엘아이지식산업센터 627호 (고잔동)",032-818-0814,3,25934,25934,톱 및 호환성 공구 제조업,인서트 팁
5631,남동국가산업단지,(주)성창기업,남동구,"인천광역시 남동구 호구포로 50, 1층 130호(고잔동)",032-818-0815,3,25929,"25929, 25934",그 외 기타 금속가공업 외 1 종,AL가공
5632,남동국가산업단지,(주)예림금속,남동구,인천광역시 남동구 함박뫼로347번길 133 (남촌동) 6블럭 2로트,032-818-0831,3,25112,25112,구조용 금속 판제품 및 공작물 제조업,금속부스
5633,남동국가산업단지,(주)경방테크롤,남동구,"인천광역시 남동구 남동서로 19, 135블럭 14로트 (고잔동)",032-818-0892,5,29293,29293,인쇄 및 제책용 기계 제조업,인쇄 및 제책용 기계 제조업
5634,남동국가산업단지,경방산업,남동구,"인천광역시 남동구 남동서로53번길 80, 115블럭 9로트 (고잔동)",032-818-0892,23,25922,25922,도금업,그라비아 제판(도금)
5635,남동국가산업단지,보성산업공사,남동구,인천광역시 남동구 남동서로 154 (고잔동) 84블록 1로트,032-818-0897,9,17222,"17222, 17229",판지 상자 및 용기 제조업 외 1 종,"지함,지관,지통"
5636,남동국가산업단지,비에스텍,남동구,"인천광역시 남동구 남동서로 154, 84블럭 1로트 (고잔동)",032-818-0897,3,17211,"17211, 17212",골판지 제조업 외 1 종,"종이용기, 지관"
5637,남동국가산업단지,(주)보성테크놀로지,남동구,인천광역시 남동구 남동서로 154 (고잔동) 84블록 1로트,032-818-0898,30,22241,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종,플라스틱 성형
5638,남동국가산업단지,한성정밀,남동구,"인천광역시 남동구 남동서로 36, 128블럭 10롯트 (고잔동)",032-818-0983,6,29223,29223,금속 절삭기계 제조업,코아드릴
5639,남동국가산업단지,에스케이에스메디칼(주),남동구,"인천광역시 남동구 함박뫼로 396, 6층 5-1 (논현동)",032-818-0992,6,27199,27199,그 외 기타 의료용 기기 제조업,고압증기멸균기(의료용)
5640,남동국가산업단지,(주)코스모코스,남동구,"인천광역시 남동구 앵고개로 404, 116블럭 7로트(687-14번지) (고잔동)",032-818-1004,208,20423,20423,화장품 제조업,여성용 기초화장품
5641,남동국가산업단지,제일고주파열처리,남동구,"인천광역시 남동구 청능대로289번길 45, 67블럭 4로트 (고잔동) 외 1필지",032-818-1092,5,25921,25921,금속 열처리업,열처리
5642,남동국가산업단지,삼아기계,남동구,"인천광역시 남동구 호구포로120번길 97, 3동 102호, 109블럭 9로트 (고잔동)",032-818-1173,2,25924,"25924, 29199",절삭가공 및 유사처리업 외 1 종,"기계부품가공, 산업기계"
5643,남동국가산업단지,헬스마트,남동구,"인천광역시 남동구 앵고개로621번길 28-28, A동 1층, 111블럭 2로트(657-1번지) (고잔동)",032-818-1187,1,28519,"28519, 33301",기타 가정용 전기기기 제조업 외 1 종,"마사지기, 체력단력기구"
5644,남동국가산업단지,(주)태성이앤지,남동구,"인천광역시 남동구 은봉로105번길 15, 44블럭 7로트 (논현동)",032-818-1230,6,27213,"25924, 27213","물질 검사, 측정 및 분석기구 제조업 외 1 종","질소발생기,레이저가공품"
5645,남동국가산업단지,협성기계,남동구,"인천광역시 남동구 남동서로53번길 38, 117블럭 9로트 107호 (고잔동)",032-818-1258,4,29223,"13224, 13229, 25111, 25130, 25200, 25913, 25914, 25924, 25995, 25999, 26429, 28302, 28422, 28901, 28902, 29132, 29169, 29173, 29175, 29223, 30201, 30202, 30203, 30310, 30320, 30391, 30392, 30393, 30399, 30400, 31114, 31202, 31311, 31312, 31322, 31999",금속 절삭기계 제조업 외 35 종,"금속절삭가공기계, 수동운반기기 외"
5646,남동국가산업단지,해양제지산업기계(주),남동구,"인천광역시 남동구 청능대로 444, 102블럭2로트 (고잔동)",032-818-1271,13,29291,"29176, 29199, 29261, 29291, 29299",펄프 및 종이 가공용 기계 제조업 외 4 종,소각로여과지
5647,남동국가산업단지,현진특수강,남동구,"인천광역시 남동구 호구포로14번길 11, 166블록4로트 (고잔동)",032-818-1316,2,25924,25924,절삭가공 및 유사처리업,절삭가공
